id,TLE_LINE1,TLE_LINE2
CZ-6A DEB,1 61813U 24140ACD 26084.83641544  .00003031  00000-0  11454-2 0  9999,2 61813  89.1516 294.1915 0065994 135.3454 225.3084 14.29872271 81062
CZ-6A DEB,1 61814U 24140ACE 26085.61593624  .00007293  00000-0  16203-2 0  9993,2 61814  89.4908 317.0791 0047005 162.4036 197.8817 14.56269742 80337
CZ-6A DEB,1 61815U 24140ACF 26085.53672390  .00000757  00000-0  35482-3 0  9992,2 61815  89.0261 286.4226 0055597  94.6886 266.0656 14.18343795 78563
CZ-6A DEB,1 61816U 24140ACG 26085.54204986  .00002689  00000-0  10090-2 0  9999,2 61816  89.1564 294.3523 0064870 135.8355 224.8047 14.30253694 80383
CZ-6A DEB,1 61817U 24140ACH 26085.91143140  .00002028  00000-0  61497-3 0  9990,2 61817  88.7189 261.7053 0046841 261.5159  98.0733 14.41291202 81805
CZ-6A DEB,1 61818U 24140ACJ 26085.03835917  .00016855  00000-0  22243-2 0  9992,2 61818  89.1635 291.7539 0099786  74.7266 286.4960 14.76496221 79884
CZ-6A DEB,1 61821U 24140ACM 26085.96669913  .00013068  00000-0  13367-2 0  9999,2 61821  89.0462 281.6445 0124490  94.4678 267.0782 14.84794482 81964
CZ-6A DEB,1 61822U 24140ACN 26085.04983832  .00001736  00000-0  92890-3 0  9996,2 61822  89.2355 301.7172 0131810  96.3691 265.2522 14.08372787 79706
CZ-6A DEB,1 61823U 24140ACP 26084.02759967  .00002678  00000-0  14700-2 0  9993,2 61823  89.0690 290.3517 0113726 133.8504 227.2147 14.08264701 78828
CZ-6A DEB,1 61824U 24140ACQ 26083.96921365  .00003257  00000-0  10925-2 0  9998,2 61824  88.9076 276.4487 0006007 269.9519  90.0992 14.37085299 80244
CZ-6A DEB,1 61825U 24140ACR 26085.54408997  .00002260  00000-0  95436-3 0  9990,2 61825  89.0016 284.1611 0042460  96.2960 264.3071 14.24810931 79832
CZ-6A DEB,1 61826U 24140ACS 26085.50669406  .00001314  00000-0  51170-3 0  9997,2 61826  89.0386 286.2524 0019095  16.1663 344.0137 14.29134324 80109
CZ-6A DEB,1 61827U 24140ACT 26085.48420740  .00002998  00000-0  15940-2 0  9994,2 61827  88.8530 275.5979 0105493 136.9609 223.9888 14.10423444 78987
CZ-6A DEB,1 61828U 24140ACU 26085.48839258  .00002247  00000-0  12408-2 0  9996,2 61828  88.9701 284.1691 0124775 161.1878 199.3978 14.07259983 78862
CZ-6A DEB,1 61829U 24140ACV 26085.56456847  .00033413  00000-0  31043-2 0  9990,2 61829  89.2241 295.7195 0071054  54.8493 305.9367 14.92298773 79946
CZ-6A DEB,1 61831U 24140ACX 26085.53124690  .00001902  00000-0  98415-3 0  9993,2 61831  88.9837 284.1810 0090466 129.3711 231.5534 14.12444702 78273
CZ-6A DEB,1 61832U 24140ACY 26084.02595243  .00008176  00000-0  16967-2 0  9994,2 61832  89.1331 291.0304 0124752 110.7496 250.7134 14.55241802 80928
CZ-6A DEB,1 61833U 24140ACZ 26085.47544071  .00013270  00000-0  26107-2 0  9996,2 61833  88.8512 269.9539 0057030 222.1973 137.4844 14.61484535 80560
CZ-6A DEB,1 61834U 24140ADA 26085.96410444  .00002234  00000-0  10305-2 0  9998,2 61834  88.9998 284.4735 0060831 105.1848 255.6080 14.19709948 78769
CZ-6A DEB,1 61835U 24140ADB 26085.03143442  .00002687  00000-0  10673-2 0  9998,2 61835  88.9943 283.3381 0034371 105.3856 255.1140 14.28177014 79076
CZ-6A DEB,1 61836U 24140ADC 26085.52324427  .00005505  00000-0  10502-2 0  9990,2 61836  89.0592 284.5851 0089484 180.6451 179.4662 14.61297436 80859
CZ-6A DEB,1 61837U 24140ADD 26085.93340097  .00003908  00000-0  20588-2 0  9997,2 61837  88.8396 274.6198 0107372 137.6745 223.2789 14.10873142 78233
CZ-6A DEB,1 61838U 24140ADE 26085.50695107  .00011341  00000-0  19774-2 0  9991,2 61838  88.9451 276.1193 0075391 173.3655 186.8578 14.66064005 80752
CZ-6A DEB,1 61839U 24140ADF 26085.26852638  .00004322  00000-0  14566-2 0  9994,2 61839  88.9240 277.7688 0022609 341.9535  18.0860 14.36755633 84585
CZ-6A DEB,1 61840U 24140ADG 26085.06248431  .00001927  00000-0  94879-3 0  9998,2 61840  89.0507 288.4418 0077000 112.8422 248.0921 14.15658041 81515
CZ-6A DEB,1 61841U 24140ADH 26085.96868780  .00007112  00000-0  30315-2 0  9999,2 61841  88.9727 282.3837 0069816  87.3427 273.5754 14.23711859 83305
CZ-6A DEB,1 61842U 24140ADJ 26085.96902197  .00003284  00000-0  68661-3 0  9993,2 61842  89.0154 281.6189 0104060 188.9419 170.9942 14.56233164 84623
